date,segment,active_subscribers,new_subscribers,churned_subscribers,churn_rate_pct,trial_users,trial_conversion_rate_pct,arpu_usd,marketing_spend_usd,customer_acquisition_cost_usd,support_tickets,nps_score,competitor_price_index,tech_spending_index,unemployment_rate_pct,consumer_confidence_index,monthly_revenue_usd,target_next_month_revenue_usd
2021-01-01,AI_Assistant,52846,4848,2002,4.004,14186,34.18,22.0,148167.67,30.56,985,36.7,103.65,100.8,5.55,103.75,1162663.06,1237692.25
2021-02-01,AI_Assistant,56060,5710,2497,4.724,18123,31.51,22.08,125485.86,21.97,654,13.5,97.09,102.29,5.22,104.61,1237692.25,1301250.02
2021-03-01,AI_Assistant,58903,5195,2352,4.195,15306,33.94,22.09,140748.26,27.09,1071,37.3,106.69,104.52,5.51,105.15,1301250.02,1385557.78
2021-04-01,AI_Assistant,62750,6621,2773,4.708,21046,31.46,22.08,164288.08,24.81,1184,19.3,95.96,107.56,5.38,105.38,1385557.78,1457952.59
2021-05-01,AI_Assistant,65935,6160,2975,4.742,15281,40.31,22.11,112973.46,18.34,1038,30.0,100.22,108.74,5.32,104.55,1457952.59,1527151.05
2021-06-01,AI_Assistant,68887,5855,2903,4.403,14000,41.83,22.17,127405.12,21.76,952,23.7,97.63,109.78,5.49,104.39,1527151.05,1609902.54
2021-07-01,AI_Assistant,72506,6774,3155,4.58,21608,31.35,22.2,135210.11,19.96,1031,33.4,98.68,112.47,5.53,104.17,1609902.54,1690657.2
2021-08-01,AI_Assistant,75733,5958,2730,3.765,15608,38.17,22.32,128607.47,21.59,1162,26.6,104.98,114.16,5.5,103.46,1690657.2,1786077.49
2021-09-01,AI_Assistant,79509,7077,3302,4.359,18227,38.83,22.46,136695.29,19.32,1188,31.7,94.4,114.41,5.21,103.15,1786077.49,1871516.91
2021-10-01,AI_Assistant,82875,6298,2932,3.688,19070,33.03,22.58,137310.92,21.8,1623,41.2,104.05,115.46,5.27,103.16,1871516.91,2003216.27
2021-11-01,AI_Assistant,88135,9429,4169,5.03,29945,31.49,22.73,237874.81,25.23,1047,25.9,107.56,115.28,5.35,104.26,2003216.27,2057239.02
2021-12-01,AI_Assistant,90334,6780,4581,5.198,15311,44.28,22.77,208912.12,30.81,1202,27.5,93.89,114.88,5.43,103.87,2057239.02,2114488.71
2022-01-01,AI_Assistant,92193,6678,4818,5.334,17493,38.17,22.94,143361.32,21.47,1131,27.6,111.62,114.97,5.19,103.46,2114488.71,2213686.77
2022-02-01,AI_Assistant,96739,8505,3960,4.295,24238,35.09,22.88,158818.77,18.67,1876,30.2,108.07,112.7,5.21,102.69,2213686.77,2335219.71
2022-03-01,AI_Assistant,101368,9129,4500,4.652,21571,42.32,23.04,173337.37,18.99,1592,31.5,91.84,110.44,5.05,100.36,2335219.71,2467195.19
2022-04-01,AI_Assistant,106605,9370,4133,4.077,28215,33.21,23.14,276309.59,29.49,1654,35.8,95.68,109.18,5.02,99.48,2467195.19,2561035.12
2022-05-01,AI_Assistant,110382,8477,4701,4.409,25812,32.84,23.2,155350.36,18.33,1962,28.0,90.93,107.34,5.3,98.62,2561035.12,2664870.66
2022-06-01,AI_Assistant,114573,9111,4920,4.457,28860,31.57,23.26,233892.39,25.67,1499,42.9,96.56,106.72,5.36,99.63,2664870.66,2712431.05
2022-07-01,AI_Assistant,115751,6022,4844,4.228,18853,31.94,23.43,180763.3,30.02,1522,37.3,93.44,104.82,5.13,98.49,2712431.05,2818387.89
2022-08-01,AI_Assistant,119821,8138,4069,3.515,20327,40.04,23.52,157885.08,19.4,1035,36.8,90.13,102.37,5.27,97.72,2818387.89,2952057.61
2022-09-01,AI_Assistant,124227,9403,4996,4.17,23443,40.11,23.76,212509.62,22.6,1996,37.1,92.0,102.82,5.15,96.68,2952057.61,3110595.24
2022-10-01,AI_Assistant,130345,11751,5633,4.534,35704,32.91,23.86,281610.01,23.97,1391,36.7,109.8,101.61,4.98,94.75,3110595.24,3266483.94
2022-11-01,AI_Assistant,135780,10953,5518,4.234,25012,43.79,24.06,316332.79,28.88,1996,37.4,88.52,100.77,5.11,94.69,3266483.94,3283175.17
2022-12-01,AI_Assistant,136712,7829,6896,5.079,23023,34.0,24.02,224997.6,28.74,2444,34.8,114.9,98.55,5.27,94.35,3283175.17,3389553.87
2023-01-01,AI_Assistant,140748,10569,6533,4.779,25615,41.26,24.08,332770.15,31.49,1147,31.1,90.95,97.36,5.01,94.09,3389553.87,3519225.39
2023-02-01,AI_Assistant,145456,10780,6072,4.314,25508,42.26,24.19,226763.41,21.04,1678,40.7,85.39,96.99,5.23,92.53,3519225.39,3687951.18
2023-03-01,AI_Assistant,151468,11718,5707,3.923,27985,41.87,24.35,287003.02,24.49,1854,28.7,87.45,95.54,4.59,92.9,3687951.18,3732858.78
2023-04-01,AI_Assistant,153386,9787,7869,5.195,24183,40.47,24.34,194411.86,19.86,1367,28.7,88.45,95.83,5.08,91.11,3732858.78,3821862.81
2023-05-01,AI_Assistant,156637,10884,7633,4.976,34691,31.37,24.4,218837.25,20.11,2370,32.1,85.74,95.36,4.95,91.0,3821862.81,3939248.96
2023-06-01,AI_Assistant,159891,10525,7270,4.642,31048,33.9,24.64,324002.62,30.78,2402,36.6,87.94,95.41,4.88,92.28,3939248.96,4046455.2
2023-07-01,AI_Assistant,163327,9763,6327,3.957,28036,34.82,24.78,260218.86,26.65,2009,35.1,112.75,95.38,4.91,91.11,4046455.2,4196168.1
2023-08-01,AI_Assistant,168982,13621,7965,4.877,43150,31.57,24.83,262031.02,19.24,2958,27.0,92.12,98.02,4.58,90.41,4196168.1,4401767.04
2023-09-01,AI_Assistant,176195,14166,6954,4.115,33097,42.8,24.98,257870.69,18.2,2151,22.3,88.33,98.99,4.83,90.35,4401767.04,4596029.33
2023-10-01,AI_Assistant,182170,12476,6500,3.689,38805,32.15,25.23,276602.27,22.17,2602,39.7,118.44,99.09,4.89,89.94,4596029.33,4734137.51
2023-11-01,AI_Assistant,187831,13651,7990,4.386,43411,31.45,25.2,339869.25,24.9,2244,24.0,85.01,101.23,5.04,88.81,4734137.51,4881398.56
